system,tier,ref,mult,func,converger,natom,charge,converged,niter,micro,fock_builds,time,E
t0_benzene,0,rhf,1,b3lypv5,adiis,12,0,True,33,0,33,157.82,-231.9388407059
t1_glycine,1,rhf,1,b3lypv5,adiis,10,0,True,45,0,45,125.41,-284.0762255920
t1_c8,1,rhf,1,hf,adiis,18,0,True,34,0,34,119.54,-308.2589334555
t1_glycine,1,rhf,1,b3lypv5,trah,10,0,True,5,64,69,132.6,-284.0762255920
t1_c8,1,rhf,1,hf,trah,18,0,True,4,30,34,127.69,-308.2589334555
t1_c8,1,rhf,1,hf,ediis,18,0,True,71,0,71,175.78,-308.2589334555
t1_c8,1,rhf,1,b3lypv5,cdiis,18,0,True,15,0,15,290.12,-310.1719598429
t1_c8,1,rhf,1,b3lypv5,soscf,18,0,True,16,0,16,289.88,-310.1719598429
t1_c8,1,rhf,1,b3lypv5,trah,18,0,True,4,36,40,266.86,-310.1719598429
t1_c8,1,rhf,1,b3lypv5,ediis,18,0,True,36,0,36,356.04,-310.1719598429
t1_c8,1,rhf,1,b3lypv5,adiis,18,0,True,37,0,37,351.35,-310.1719598429
t1_c16,1,rhf,1,hf,cdiis,34,0,True,17,0,17,478.94,-615.6053159871
t1_c16,1,rhf,1,hf,soscf,34,0,True,16,0,16,470.52,-615.6053159871
t1_c16,1,rhf,1,hf,adiis,34,0,True,35,0,35,597.73,-615.6053159871
t1_caffeine,1,rhf,1,hf,cdiis,24,0,True,20,0,20,574.03,-675.8581183682
t1_c16,1,rhf,1,hf,trah,34,0,True,4,33,37,663.2,-615.6053159871
t1_caffeine,1,rhf,1,hf,ediis,24,0,True,35,0,35,682.23,-675.8581183682
t1_caffeine,1,rhf,1,hf,soscf,24,0,True,19,0,19,568.13,-675.8581183682
t1_caffeine,1,rhf,1,hf,adiis,24,0,True,37,0,37,708.41,-675.8581183682
t1_c16,1,rhf,1,hf,ediis,34,0,True,76,0,76,947.65,-615.6053159871
t1_caffeine,1,rhf,1,hf,trah,24,0,True,10,88,98,1047.49,-675.8581183679
t1_caffeine,1,rhf,1,b3lypv5,cdiis,24,0,True,21,0,21,1109.35,-679.5212092633
t1_c16,1,rhf,1,b3lypv5,cdiis,34,0,True,18,0,18,1343.96,-619.3761481522
t1_c16,1,rhf,1,b3lypv5,soscf,34,0,True,19,0,19,1381.91,-619.3761481521
t2_cr_atom,2,rohf,7,hf,cdiis,1,0,True,17,0,17,5.28,-1043.2002453431
t2_cr_atom,2,rohf,7,hf,ediis,1,0,True,25,0,25,4.91,-1043.2002453431
t1_c16,1,rhf,1,b3lypv5,ediis,34,0,True,23,0,23,1413.8,-619.3761481521
t1_c16,1,rhf,1,b3lypv5,trah,34,0,True,4,42,46,1397.44,-619.3761481521
t2_cr_atom,2,rohf,7,hf,soscf,1,0,True,16,0,16,4.24,-1043.2002453431
t2_cr_atom,2,rohf,7,hf,adiis,1,0,True,59,0,59,19.1,-1043.2002453431
t2_cr_atom,2,rohf,7,hf,trah,1,0,True,6,186,192,8.65,-1042.9301549357
t2_cr_atom,2,rohf,7,b3lypv5,cdiis,1,0,True,14,0,14,8.66,-1044.2169942756
t2_cr_atom,2,rohf,7,b3lypv5,ediis,1,0,True,33,0,33,10.11,-1044.2169942756
t2_cr_atom,2,rohf,7,b3lypv5,adiis,1,0,True,22,0,22,9.33,-1044.2169942756
t2_cr_atom,2,rohf,7,b3lypv5,soscf,1,0,True,16,0,16,8.96,-1044.2169942756
t2_cr_atom,2,rohf,7,b3lypv5,trah,1,0,True,4,27,31,8.78,-1044.2169942756
t2_cr_atom,2,uhf,7,hf,cdiis,1,0,True,13,0,13,5.51,-1043.2004396300
t2_cr_atom,2,uhf,7,hf,ediis,1,0,True,75,0,75,8.23,-1043.2004396300
t2_cr_atom,2,uhf,7,hf,soscf,1,0,True,17,0,17,4.58,-1043.2004396300
t2_cr_atom,2,uhf,7,hf,adiis,1,0,True,33,0,33,5.28,-1043.2004396300
t2_cr_atom,2,uhf,7,hf,trah,1,0,True,4,26,30,3.33,-1043.2004396300
t2_cr_atom,2,uhf,7,b3lypv5,cdiis,1,0,True,12,0,12,8.22,-1044.2171922079
t2_cr_atom,2,uhf,7,b3lypv5,ediis,1,0,True,29,0,29,9.6,-1044.2171922079
t2_cr_atom,2,uhf,7,b3lypv5,adiis,1,0,True,30,0,30,9.84,-1044.2171922079
t2_fe_atom,2,rohf,5,hf,cdiis,1,0,True,20,0,20,4.69,-1262.1706234459
t2_cr_atom,2,uhf,7,b3lypv5,soscf,1,0,True,15,0,15,8.99,-1044.2171922079
t2_cr_atom,2,uhf,7,b3lypv5,trah,1,0,True,4,28,32,7.77,-1044.2171922079
t2_fe_atom,2,rohf,5,hf,soscf,1,0,True,24,0,24,4.27,-1262.1706234459
t2_fe_atom,2,rohf,5,hf,ediis,1,0,True,59,0,59,5.3,-1262.1706234459
t2_fe_atom,2,rohf,5,hf,adiis,1,0,True,47,0,47,7.38,-1262.1706234459
t2_fe_atom,2,rohf,5,hf,trah,1,0,True,18,298,316,11.88,-1262.2602847899
t1_c16,1,rhf,1,b3lypv5,adiis,34,0,True,39,0,39,1593.26,-619.3761481522
t1_caffeine,1,rhf,1,b3lypv5,soscf,24,0,True,46,0,46,1448.21,-679.5212092633
t2_fe_atom,2,rohf,5,b3lypv5,adiis,1,0,False,253,0,253,422.2,-1263.4246057108
t2_fe_atom,2,uhf,5,hf,cdiis,1,0,True,30,0,30,7.05,-1262.2652852044
t2_fe_atom,2,uhf,5,hf,ediis,1,0,True,65,0,65,9.72,-1262.2652852043
t2_fe_atom,2,uhf,5,hf,adiis,1,0,True,46,0,46,5.17,-1262.1749887046
t2_fe_atom,2,uhf,5,hf,soscf,1,0,True,28,0,28,4.92,-1262.1749887046
t2_fe_atom,2,rohf,5,b3lypv5,trah,1,0,True,12,143,155,34.41,-1263.4246048265
t2_fe_atom,2,uhf,5,hf,trah,1,0,True,7,67,74,4.87,-1262.2652852043
t2_fe_atom,2,uhf,5,b3lypv5,cdiis,1,0,True,22,0,22,8.96,-1263.4261302878
t2_fe_atom,2,uhf,5,b3lypv5,ediis,1,0,True,30,0,30,9.75,-1263.4266862382
t2_fe_atom,2,uhf,5,b3lypv5,adiis,1,0,True,20,0,20,9.3,-1263.4261302878
t2_fe_atom,2,uhf,5,b3lypv5,soscf,1,0,True,32,0,32,21.66,-1263.4266862382
t2_cu_atom,2,rohf,2,hf,cdiis,1,0,True,12,0,12,4.02,-1638.6914439323
t2_fe_atom,2,uhf,5,b3lypv5,trah,1,0,True,9,117,126,21.35,-1263.4266862382
t2_cu_atom,2,rohf,2,hf,ediis,1,0,True,35,0,35,5.23,-1638.6914439323
t2_cu_atom,2,rohf,2,hf,adiis,1,0,True,35,0,35,5.24,-1638.6914439323
t2_cu_atom,2,rohf,2,hf,soscf,1,0,True,18,0,18,4.43,-1638.6914439323
t2_fe_atom,2,rohf,5,b3lypv5,cdiis,1,0,False,246,0,246,515.34,-1263.4246055402
t2_cu_atom,2,rohf,2,hf,trah,1,0,True,9,135,144,9.32,-1638.6914439323
t2_cu_atom,2,rohf,2,b3lypv5,cdiis,1,0,True,13,0,13,8.24,-1640.1754008064
t2_cu_atom,2,rohf,2,b3lypv5,soscf,1,0,True,20,0,20,9.99,-1640.1754008064
t2_cu_atom,2,rohf,2,b3lypv5,adiis,1,0,True,33,0,33,10.94,-1640.1277933272
t2_cu_atom,2,uhf,2,hf,cdiis,1,0,True,13,0,13,3.98,-1638.6887857850
t2_cu_atom,2,uhf,2,hf,ediis,1,0,True,68,0,68,7.07,-1638.6887857850
t2_cu_atom,2,rohf,2,b3lypv5,trah,1,0,True,10,97,107,16.33,-1640.1754008064
t2_cu_atom,2,uhf,2,hf,adiis,1,0,True,33,0,33,4.79,-1638.6887857850
t2_cu_atom,2,uhf,2,hf,trah,1,0,True,3,18,21,3.28,-1638.6887857850
t2_cu_atom,2,uhf,2,hf,soscf,1,0,True,13,0,13,3.88,-1638.6887857850
t2_cu_atom,2,uhf,2,b3lypv5,cdiis,1,0,True,14,0,14,9.08,-1640.1755758632
t2_cu_atom,2,uhf,2,b3lypv5,ediis,1,0,True,40,0,40,10.94,-1640.1755758632
t2_cu_atom,2,uhf,2,b3lypv5,soscf,1,0,True,18,0,18,9.57,-1640.1755758632
t2_cu_atom,2,uhf,2,b3lypv5,adiis,1,0,True,33,0,33,17.89,-1640.1755758632
t2_cu_atom,2,uhf,2,b3lypv5,trah,1,0,True,9,87,96,16.22,-1640.1755758632
t2_cu_atom,2,rohf,2,b3lypv5,ediis,1,0,True,70,0,70,245.3,-1640.1754008064
t2_feh2o6_2,2,uhf,5,hf,cdiis,19,2,True,21,0,21,235.21,-1717.7591276520
t2_feh2o6_2,2,uhf,5,hf,adiis,19,2,True,30,0,30,264.72,-1717.7591276519
t2_fe_atom,2,rohf,5,b3lypv5,soscf,1,0,True,274,0,274,971.19,-1263.4246053953
t2_feh2o6_2,2,uhf,5,hf,ediis,19,2,True,107,0,107,534.59,-1717.7591276520
t1_caffeine,1,rhf,1,b3lypv5,ediis,24,0,False,-1,-1,-1,2400.65,nan
t1_caffeine,1,rhf,1,b3lypv5,adiis,24,0,False,-1,-1,-1,2400.54,nan
t2_fe_atom,2,rohf,5,b3lypv5,ediis,1,0,True,442,0,442,1258.21,-1263.2355865143
t1_caffeine,1,rhf,1,b3lypv5,trah,24,0,False,-1,-1,-1,2400.62,nan
t1_porphine,1,rhf,1,hf,cdiis,38,0,False,-1,-1,-1,2400.66,nan
t1_porphine,1,rhf,1,hf,ediis,38,0,False,-1,-1,-1,2400.53,nan
t1_porphine,1,rhf,1,hf,adiis,38,0,False,-1,-1,-1,2400.81,nan
t2_feh2o6_2,2,uhf,5,hf,trah,19,2,True,8,102,110,594.68,-1717.7591276520
t2_feh2o6_3,2,uhf,6,hf,cdiis,19,3,True,19,0,19,254.35,-1717.1782475779
t1_porphine,1,rhf,1,hf,soscf,38,0,False,-1,-1,-1,2400.72,nan
t1_porphine,1,rhf,1,hf,trah,38,0,False,-1,-1,-1,2400.49,nan
t1_porphine,1,rhf,1,b3lypv5,cdiis,38,0,False,-1,-1,-1,2401.33,nan
t2_feh2o6_3,2,uhf,6,hf,ediis,19,3,True,27,0,27,286.82,-1717.1782475779
t2_feh2o6_2,2,uhf,5,b3lypv5,ediis,19,2,True,25,0,25,688.08,-1721.0570361922
t2_feh2o6_3,2,uhf,6,hf,adiis,19,3,True,30,0,30,304.33,-1717.1782475779
t1_porphine,1,rhf,1,b3lypv5,ediis,38,0,False,-1,-1,-1,2401.34,nan
t2_feh2o6_2,2,uhf,5,hf,soscf,19,2,True,32,0,32,1125.8,-1717.7591276520
t2_mnh2o6_2,2,uhf,6,hf,cdiis,19,2,True,19,0,19,228.71,-1605.1999054974
t1_porphine,1,rhf,1,b3lypv5,adiis,38,0,False,-1,-1,-1,2401.1,nan
t1_porphine,1,rhf,1,b3lypv5,soscf,38,0,False,-1,-1,-1,2401.28,nan
t1_porphine,1,rhf,1,b3lypv5,trah,38,0,False,-1,-1,-1,2400.58,nan
t2_mnh2o6_2,2,uhf,6,hf,ediis,19,2,True,110,0,110,561.57,-1605.1999054974
t2_feh2o6_3,2,uhf,6,hf,soscf,19,3,True,30,0,30,989.41,-1717.1782475779
t2_mnh2o6_2,2,uhf,6,hf,trah,19,2,True,8,125,133,566.03,-1605.1999054975
t2_n2_stretch,2,rhf,1,hf,cdiis,2,0,True,19,0,19,6.05,-108.3636606103
t2_n2_stretch,2,rhf,1,hf,ediis,2,0,True,60,0,60,6.83,-108.3636606103
t2_n2_stretch,2,rhf,1,hf,adiis,2,0,True,37,0,37,6.0,-108.3636606103
t2_n2_stretch,2,rhf,1,hf,soscf,2,0,True,17,0,17,6.26,-108.3636606103
t2_n2_stretch,2,rhf,1,hf,trah,2,0,True,5,73,78,5.21,-108.3636606103
t2_n2_stretch,2,rhf,1,b3lypv5,cdiis,2,0,True,11,0,11,11.75,-108.9503608180
t2_n2_stretch,2,rhf,1,b3lypv5,ediis,2,0,True,39,0,39,14.0,-108.9503608180
t2_n2_stretch,2,rhf,1,b3lypv5,adiis,2,0,True,31,0,31,12.99,-108.9503608180
t2_n2_stretch,2,rhf,1,b3lypv5,soscf,2,0,True,11,0,11,7.57,-108.9503608180
t2_n2_stretch,2,rhf,1,b3lypv5,trah,2,0,True,3,18,21,9.74,-108.9503608180
t2_n2_stretch,2,uhf,1,hf,cdiis,2,0,True,17,0,17,6.5,-108.6621623871
t2_n2_stretch,2,uhf,1,hf,ediis,2,0,True,57,0,57,6.73,-108.6621623871
t2_feh2o6_3,2,uhf,6,hf,trah,19,3,True,10,219,229,1085.36,-1716.9924421660
t2_n2_stretch,2,uhf,1,hf,adiis,2,0,True,32,0,32,4.99,-108.2299814199
t2_n2_stretch,2,uhf,1,hf,soscf,2,0,True,17,0,17,6.04,-108.6621623871
t2_n2_stretch,2,uhf,1,hf,trah,2,0,True,7,81,88,6.12,-108.6621623871
t2_n2_stretch,2,uhf,1,b3lypv5,cdiis,2,0,True,17,0,17,29.9,-109.0642922735
t2_n2_stretch,2,uhf,1,b3lypv5,ediis,2,0,True,51,0,51,35.0,-109.0642922735
t2_mnh2o6_2,2,uhf,6,hf,soscf,19,2,True,30,0,30,812.9,-1605.1999054975
t2_n2_stretch,2,uhf,1,b3lypv5,trah,2,0,True,6,59,65,22.17,-109.0642922735
t2_n2_stretch,2,uhf,1,b3lypv5,adiis,2,0,True,38,0,38,33.1,-109.0642922735
t2_f2_stretch,2,rhf,1,hf,cdiis,2,0,True,11,0,11,5.29,-198.3181165082
