# OpenQP radial SAP effective-charge table Z_eff(r)
# Source: Lehtola, JCTC 15, 1593 (2019), via pyscf.dft.sap_data
# Potential of atom Z at distance r:  V(r) = -Z_eff(r)/r
# Format: line 1 = 'zmax nr'; then nr r-values; then zmax rows of nr Z_eff values
36 1501
2.6916191346487200e-01 2.7089027031411000e-01 2.7285588887867301e-01 2.7506769994802599e-01 2.7753172032809997e-01 2.8025076796354198e-01
2.8322423917330097e-01 2.8644795507261400e-01 2.8991408253217499e-01 2.9361113314910797e-01 2.9752404172440999e-01 3.0163432371077797e-01
3.0592030906765599e-01 3.1035744799135900e-01 3.1491868213012097e-01 3.1957487319693001e-01 3.2429527940271602e-01 3.2904806888888799e-01
3.3380085837506102e-01 3.3852126458084703e-01 3.4317745564765600e-01 3.4773868978641798e-01 3.5217582871012099e-01 3.5646181406699901e-01
3.6057209605336699e-01 3.6448500462866901e-01 3.6818205524560199e-01 3.7164818270516298e-01 3.7487189860447601e-01 3.7784536981423500e-01
3.8056441744967701e-01 3.8302843782975099e-01 3.8524024889910402e-01 3.8720586746366698e-01 3.8893422431290497e-01 3.9043682582433697e-01
3.9172737192836099e-01 3.9282134131998198e-01 3.9373555551247502e-01 3.9448773371824303e-01 3.9509605060477199e-01 3.9557870870827599e-01
3.9595353670277700e-01 3.9623762383533201e-01 3.9644699967414099e-01 3.9659636690858102e-01 3.9669889332807401e-01 3.9676606733549502e-01
3.9680761946973198e-01 3.9683151047347598e-01 3.9684398450012898e-01 3.9684968416167599e-01 3.9685182232992999e-01 3.9685240396622201e-01
3.9685248981461801e-01 3.9685249625928498e-01 3.9685260969275399e-01 3.9685337822222999e-01 3.9685620343336497e-01 3.9686373452790802e-01
3.9688021674764701e-01 3.9691178448310499e-01 3.9696668827849801e-01 3.9705544684714900e-01 3.9719091737499701e-01 3.9738827975430102e-01
3.9766493288958399e-01 3.9804030378415300e-01 3.9853557267697498e-01 3.9917331998518202e-01 3.9997710314784801e-01 4.0097097359680201e-01
4.0217894594027798e-01 4.0362443298318101e-01 4.0532966137981102e-01 4.0731508348765000e-01 4.0959880134138699e-01 4.1219601858359500e-01
4.1511853567281998e-01 4.1837430275380599e-01 4.2196704324195200e-01 4.2589595947953002e-01 4.3015552980951399e-01 4.3473540413709699e-01
4.3962040257002100e-01 4.4479061911262902e-01 4.5022162970532098e-01 4.5588480122263503e-01 4.6174769544152400e-01 4.6777455953637698e-01
4.7392689241507202e-01 4.8016407424115098e-01 4.8644404484410397e-01 4.9272401544705702e-01 4.9896119727313598e-01 5.0511353015183102e-01
5.1114039424668400e-01 5.1700328846557297e-01 5.2266645998288697e-01 5.2809747057557899e-01 5.3326768711818695e-01 5.3815268555111095e-01
5.4273255987869395e-01 5.4699213020867798e-01 5.5092104644625595e-01 5.5451378693440101e-01 5.5776955401538797e-01 5.6069207110461206e-01
5.6328928834682102e-01 5.6557300620055795e-01 5.6755842830839698e-01 5.6926365670502699e-01 5.7070914374793003e-01 5.7191711609140605e-01
5.7291098654035999e-01 5.7371476970302604e-01 5.7435251701123202e-01 5.7484778590405505e-01 5.7522315679862401e-01 5.7549980993390704e-01
5.7569717231321105e-01 5.7583264284105895e-01 5.7592140140971004e-01 5.7597630520510301e-01 5.7600787294056099e-01 5.7602435516030004e-01
5.7603188625484303e-01 5.7603471146597796e-01 5.7603547999545401e-01 5.7603559342892297e-01 5.7603560191851599e-01 5.7603575100005699e-01
5.7603676105079105e-01 5.7604047412448300e-01 5.7605037197200204e-01 5.7607203396240902e-01 5.7611352230520996e-01 5.7618568039483398e-01
5.7630233259903396e-01 5.7648037665627605e-01 5.7673976295465701e-01 5.7710335825052606e-01 5.7759669475774500e-01 5.7824760890493698e-01
5.7908577732468003e-01 5.8014216071446501e-01 5.8144836900873798e-01 5.8303596374602196e-01 5.8493571553629897e-01 5.8717683607434701e-01
5.8978620516024904e-01 5.9278761364912402e-01 5.9620104314325195e-01 6.0004200256217699e-01 6.0432094049607299e-01 6.0904275049628598e-01
6.1420638422986995e-01 6.1980458478097900e-01 6.2582374939113095e-01 6.3224392767222704e-01 6.3903895788793796e-01 6.4617674037249295e-01
6.5361964363578395e-01 6.6132503528438502e-01 6.6924592666156602e-01 6.7733171716247198e-01 6.8552902159253204e-01 6.9378256177777797e-01
7.0203610196302402e-01 7.1023340639308397e-01 7.1831919689399004e-01 7.2624008827117104e-01 7.3394547991977199e-01 7.4138838318306299e-01
7.4852616566761798e-01 7.5532119588332902e-01 7.6174137416442500e-01 7.6776053877457695e-01 7.7335873932568600e-01 7.7852237305926997e-01
7.8324418305948296e-01 7.8752312099337896e-01 7.9136408041230399e-01 7.9477750990643203e-01 7.9777891839530701e-01 8.0038828748120905e-01
8.0262940801925697e-01 8.0452915980953399e-01 8.0611675454681797e-01 8.0742296284109105e-01 8.0847934623087603e-01 8.0931751465061896e-01
8.0996842879781195e-01 8.1046176530502900e-01 8.1082536060089905e-01 8.1108474689928001e-01 8.1126279095652198e-01 8.1137944316072197e-01
8.1145160125034599e-01 8.1149308959314703e-01 8.1151475158355402e-01 8.1152464943107305e-01 8.1152836250476501e-01 8.1152937255549895e-01
8.1152952163703995e-01 8.1152953279878404e-01 8.1152972886044294e-01 8.1153105720881502e-01 8.1153594038471100e-01 8.1154895734435994e-01
8.1157744568533596e-01 8.1163200826402904e-01 8.1172690555752502e-01 8.1188031841139296e-01 8.1211446955429800e-01 8.1245559634707398e-01
8.1293377155494995e-01 8.1358257336721695e-01 8.1443861031593101e-01 8.1554091104121196e-01 8.1693019289591495e-01 8.1864802706411999e-01
8.2073592108295601e-01 8.2323434231543102e-01 8.2618170794785195e-01 8.2961336842104905e-01 8.3356061181058605e-01 8.3804971652801996e-01
8.4310107882409802e-01 8.4872843995685299e-01 8.5493823558416504e-01 8.6172908701156303e-01 8.6909145044878999e-01 8.7700743649534996e-01
8.8545080779040797e-01 8.9438715824056902e-01 9.0377427260122600e-01 9.1356266055771196e-01 9.2369625495563401e-01 9.3411325958653202e-01
9.4474712805934602e-01 9.5552765188458300e-01 9.6638213305808995e-01 9.7723661423159702e-01 9.8801713805683300e-01 9.9865100652964800e-01
1.0090680111605499e+00 1.0192016055584701e+00 1.0289899935149500e+00 1.0383771078756101e+00 1.0473134583257699e+00 1.0557568296208300e+00
1.0636728156673900e+00 1.0710351791046200e+00 1.0778260305320100e+00 1.0840358261593299e+00 1.0896631872920799e+00 1.0947145495881601e+00
1.0992036543055901e+00 1.1031508976951301e+00 1.1065825581683300e+00 1.1095299238007501e+00 1.1120283450332200e+00 1.1141162390520600e+00
1.1158340732202601e+00 1.1172233550749699e+00 1.1183256558002499e+00 1.1191816927489600e+00 1.1198304945612301e+00 1.1203086697691100e+00
1.1206497965618800e+00 1.1208839477047901e+00 1.1210373605586501e+00 1.1211322578521501e+00 1.1211868204308399e+00 1.1212153087718200e+00
1.1212283257314699e+00 1.1212332089073600e+00 1.1212345372557400e+00 1.1212347333174000e+00 1.1212347480354801e+00 1.1212350070862400e+00
1.1212367621956201e+00 1.1212432141987001e+00 1.1212604131416799e+00 1.1212980539860200e+00 1.1213701459879200e+00 1.1214955311149799e+00
1.1216982312075501e+00 1.1220076085324899e+00 1.1224583297773401e+00 1.1230901292416899e+00 1.1239473728434299e+00 1.1250784304071699e+00
